epoch,train_loss,val_loss,val_dice,val_precision,val_recall,lr
0,0.6184935238626268,0.5837797901847146,0.01646371507509188,0.008464895167642018,0.5235631357539784,0.0001
1,0.5897099938657548,0.5758178775960748,0.023061600894751875,0.011954111957245252,0.5485889613628387,0.0001
2,0.5818397502104441,0.5713073448701338,0.027955475115132602,0.014675399574281817,0.4918062415989963,0.0001
3,0.5775211817688413,0.5678825811906294,0.04203388158401305,0.022610140350562604,0.48631318590857764,0.0001
4,0.5744078821606107,0.5659202499823137,0.053929483412172304,0.02987838587300344,0.44198354807767,0.0001
5,0.5725129246711731,0.5642441673712297,0.06518444994633849,0.03751427862285213,0.3755956834012812,0.0001
6,0.5713320639398363,0.5632386641068892,0.07762225205078721,0.04634701809845865,0.34342853047631006,0.0001
7,0.5702500442663828,0.5625685778531161,0.0824597395787185,0.05134623298760165,0.2998126135631041,0.0001
8,0.5692936215135787,0.5621425888755105,0.08728852618316357,0.05750609800981527,0.2759351520375772,0.0001
9,0.5686920881271362,0.5614890185269442,0.09392509810541841,0.0650903277776458,0.24558387019417502,0.0001
10,0.5682144893540276,0.5609735250473022,0.10930572877722708,0.07922357134521008,0.23991171202876352,0.0001
11,0.5675029787752364,0.5603332736275413,0.1065626907247034,0.08607484523037617,0.1836350986903364,0.0001
12,0.5670721133550009,0.5600515333088961,0.09957304359837012,0.0844147391405634,0.15731181813911957,0.0001
13,0.5669814315107133,0.5602071772922169,0.08623456777158109,0.06867717654147948,0.1656141917813908,0.0001
14,0.5661008225546943,0.5595221844586459,0.0845162226522172,0.08014056579717858,0.12824055315418678,0.0001
15,0.565338886446423,0.5589445450089194,0.08431269753385674,0.0920438116458668,0.09896939180114052,0.0001
16,0.5650268693765005,0.558638561855663,0.0863542325202037,0.10256186222911558,0.09528325785967437,0.0001
17,0.564603242609236,0.5582528656179254,0.07700140541419387,0.1045457358916544,0.07377728142521599,0.0001
18,0.5641882883177863,0.5581437457691539,0.07617799249816347,0.10648023330775852,0.08157551136206496,0.0001
19,0.5638941890663571,0.5579137693751942,0.05996152430518784,0.09090427911459384,0.058721508661454376,5e-05
20,0.5636551479498545,0.5575133941390298,0.05731592200357805,0.10434485145378858,0.04684246725148775,5e-05
21,0.5632566379176246,0.5574206384745511,0.05798098171891814,0.10257627891207283,0.04842135441404852,5e-05
22,0.5631423890590668,0.557280957698822,0.05951226212676953,0.11166014570996842,0.049598763273520904,5e-05
23,0.5630128516091241,0.5572603886777704,0.05893017493442378,0.11078884412894364,0.05401554991575805,5e-05
24,0.5629186365339491,0.5572898116978732,0.05406313232908195,0.1016937095714225,0.05540687417272817,5e-05
25,0.5628204312589433,0.5569380901076577,0.05186673497188498,0.10809644730761647,0.04228723303160884,5e-05
26,0.5626629922125075,0.5567026029933583,0.04426652813245627,0.10735708081417462,0.03256947200068019,5e-05
27,0.5625616510709127,0.5567820776592601,0.04207585076801479,0.09625371673080901,0.03709890612993728,5e-05
28,0.5621820688247681,0.5565720796585083,0.040516524993687526,0.10006040520966053,0.03383628450418738,2.5e-05
29,0.5620360540019141,0.556550302288749,0.03980127270121805,0.09881204388908703,0.03252054492688992,2.5e-05
30,0.5619969831572639,0.556441995230588,0.038982537829063156,0.10070950982414863,0.03201216522773558,2.5e-05
