epoch,train_loss,val_loss,val_dice,val_precision,val_recall,lr
0,0.9856679638226827,0.9544771096923135,0.053002362393520096,0.02786544873379171,0.940636542710391,0.0001
1,0.9828542603386773,0.9510149522261186,0.056909773625772105,0.0300442318178036,0.9702145728197965,0.0001
2,0.9810571306281619,0.9491683949123729,0.06367366803302006,0.033892069117758765,0.9766832861033353,0.0001
3,0.9800107942687141,0.9476855288852345,0.07014103106815707,0.0376162223983556,0.975439808585427,0.0001
4,0.9814578791459402,0.9470392140475187,0.07320252255621282,0.039396295408633625,0.9774778268553994,0.0001
5,0.9798256324397193,0.946466559713537,0.07680061764337799,0.041507596001875674,0.9784956140951677,0.0001
6,0.9791388213634491,0.9457888928326693,0.08508538996631448,0.04655450961383229,0.9768331321803007,0.0001
7,0.978399482038286,0.9452636783773248,0.09567405173385685,0.052750674076378345,0.9810293641957369,0.0001
8,0.9788088235590193,0.9450226426124573,0.10072361533953385,0.05578819852830334,0.9776702143929221,0.0001
9,0.9782409502400292,0.944727437062697,0.10393537826497447,0.05800825061107224,0.9770075299523093,0.0001
10,0.9786899089813232,0.9444708661599592,0.11154062148522247,0.06269203710623762,0.9774233807216991,0.0001
11,0.9780502849155002,0.9440365758809176,0.12345265393907373,0.06996268275278536,0.9780677069317211,0.0001
12,0.9781097107463412,0.9439076076854359,0.12678093539381569,0.07203559005971659,0.9785015799782493,0.0001
13,0.9788512852456834,0.9436511397361755,0.13699456566775386,0.07859124310991981,0.9767621809786017,0.0001
14,0.9766855471664004,0.943410028110851,0.14354779639027335,0.08280060783197934,0.9798630421811884,0.0001
15,0.9761994050608741,0.9431573694402521,0.14629498157988896,0.08442972735925154,0.9776869470422919,0.0001
16,0.9772009087933434,0.9430794553323225,0.1408315318721262,0.08089641693302176,0.9748935536904768,0.0001
17,0.9770698580476973,0.9429462335326455,0.14905738491903653,0.0862560913559388,0.9781699722463434,0.0001
18,0.9771437247594198,0.9429209340702404,0.15653159240768713,0.09102885679087856,0.9672145680947737,0.0001
19,0.9773335324393378,0.9428767616098578,0.15806535157290372,0.09218402122232047,0.9657232165336609,0.0001
20,0.9763744307888879,0.9428042877804149,0.15866453911770473,0.09256738229570063,0.9635212963277643,0.0001
21,0.9767516983879937,0.9422057704492048,0.16339734044264664,0.09542229119688272,0.9744484424591064,0.0001
22,0.9763820966084799,0.9421685554764487,0.17278083650903267,0.1017714573324404,0.9691376360979947,0.0001
23,0.9758686886893378,0.9421876018697565,0.1732075633481145,0.10205968672578986,0.9678354154933583,0.0001
24,0.9755953980816735,0.942419480193745,0.1583273322744803,0.09225609932433475,0.9654774720018561,0.0001
25,0.9768726064099206,0.9422424056313254,0.1737446878105402,0.10255195043811743,0.9653044288808649,0.0001
