metric,mean,std
accuracy,0.7129629629629629,0.013094570021973107
balanced_accuracy,0.7126984126984127,0.01571348402636772
sensitivity_recall,0.7111111111111111,0.03142696805273544
specificity,0.7142857142857143,0.0
f1,0.6733870967741935,0.019958659146394494
roc_auc,0.7386243386243386,0.011972178305803936
