seed,accuracy,balanced_accuracy,sensitivity_recall,specificity,f1,roc_auc,n_scans,confusion_matrix
42,0.7222222222222222,0.7238095238095238,0.7333333333333333,0.7142857142857143,0.6875,0.7301587301587302,36,"[[15, 6], [4, 11]]"
123,0.7222222222222222,0.7238095238095238,0.7333333333333333,0.7142857142857143,0.6875,0.7555555555555555,36,"[[15, 6], [4, 11]]"
2024,0.6944444444444444,0.6904761904761905,0.6666666666666666,0.7142857142857143,0.6451612903225806,0.7301587301587302,36,"[[15, 6], [5, 10]]"
